[03/Jan/2014:16:32:08] (admin) ///// Begin Sync sp_52c6e608f3ca4

[03/Jan/2014:16:32:09] (admin) ///// Start Listings Sync sp_52c6e608f3ca4

[03/Jan/2014:16:32:09] (admin) (Step 1) $this->connect()

[03/Jan/2014:16:32:09] (admin) (Step 2) First Time Sync

[03/Jan/2014:16:32:09] (admin) cache_get_master_properties : Cache Mode = 

[03/Jan/2014:16:32:09] (admin) cache_get_master_properties : Retrieved Master List Load From service->Search (ID=*)

[03/Jan/2014:16:32:09] (admin) Retrieved Master List Results Total:4178

[03/Jan/2014:16:32:09] (admin) Last Update Not Found Syncing All Data. Total Records: 4178

[03/Jan/2014:16:32:09] (admin) Property Not Found:1368888005/12/2013 11:11:36 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1387409620/12/2013 8:03:11 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1389935209/12/2013 8:12:37 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1364955005/12/2013 9:10:54 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1384041618/12/2013 8:37:46 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1393302329/12/2013 8:28:52 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1384041113/11/2013 9:34:55 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1393301826/12/2013 8:28:37 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1393301726/12/2013 7:49:06 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1393301627/12/2013 7:51:18 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1393301426/12/2013 8:28:35 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1368044010/11/2013 1:21:57 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1389933305/12/2013 7:44:37 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1385723617/11/2013 7:47:40 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1393300526/12/2013 8:28:36 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1384039510/11/2013 4:31:38 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1325948305/12/2013 9:24:38 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1384039311/11/2013 8:01:18 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1393300126/12/2013 8:28:37 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1384039105/12/2013 11:24:36 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1348679205/12/2013 11:22:26 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1384038920/11/2013 9:49:34 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1393299329/12/2013 7:31:56 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1378144822/11/2013 8:44:12 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1391075311/12/2013 8:13:23 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1371408913/12/2013 7:51:07 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1381278205/12/2013 9:19:53 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1378985710/11/2013 1:08:19 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1384878913/11/2013 9:43:23 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1378985505/12/2013 10:20:40 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1204711905/12/2013 10:11:09 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1371408006/12/2013 12:00:09 AM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1391613530/12/2013 8:32:25 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1378984908/12/2013 7:48:48 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1390857430/12/2013 7:58:13 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1386561805/12/2013 11:33:14 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1384036005/12/2013 9:23:47 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1384877814/11/2013 9:25:25 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1368881210/11/2013 3:27:57 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1391612212/12/2013 9:07:06 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1385718805/12/2013 10:11:13 PM

